,contrast,f_inf,f_zero
0,-0.19693877551020403,111.17020193474094,51.2493942589501
1,-0.17015306122448975,107.26326947171066,59.15731532613294
2,-0.14336734693877548,112.87415117422442,50.49107542843173
3,-0.11658163265306119,115.68072253300564,64.6071312735916
4,-0.0897959183673469,122.71755277388176,73.63880544195409
5,-0.06301020408163263,129.95669375957021,89.76317201079091
6,-0.036224489795918344,132.72319748381807,113.38971607433928
7,-0.009438775510204061,145.00458741280883,168.06994800777613
8,0.01734693877551022,151.82615938820535,148.60336661617555
9,0.0441326530612245,156.78318985309429,196.62350498981726
10,0.07091836734693889,159.6972237516844,230.54459111108537
11,0.09770408163265307,169.48228209548276,258.70996313905255
12,0.12448979591836747,175.06988464654475,360.5854159223908
13,0.17806122448979603,186.8122939579742,405.9332694127298
